,MAP_ID,stationame,month_beginning,avg_weekday_rides,avg_saturday_rides,avg_sunday-holiday_rides,monthtotal,RED,BLUE,G,BRN,P,Y,Pnk,O,Location
9705,40570,California/Milwaukee,09/01/2006,3680.8,2072.2,1413.2,91043,False,True,False,False,False,False,False,False,"(41.921939, -87.69689)"
9706,40670,Western/Milwaukee,09/01/2006,4254.2,2027.0,1478.4,102610,False,True,False,False,False,False,False,False,"(41.916157, -87.687364)"
9707,40590,Damen/Milwaukee,09/01/2006,5162.0,3645.2,2580.8,134369,False,True,False,False,False,False,False,False,"(41.909744, -87.677437)"
9708,40320,Division/Milwaukee,09/01/2006,5099.5,2568.2,1726.8,123464,False,True,False,False,False,False,False,False,"(41.903355, -87.666496)"
9709,41410,Chicago/Milwaukee,09/01/2006,2959.3,1461.8,998.0,71485,False,True,False,False,False,False,False,False,"(41.896075, -87.655214)"
9710,40490,Grand/Milwaukee,09/01/2006,1598.3,807.4,546.0,38732,False,True,False,False,False,False,False,False,"(41.891189, -87.647578)"
9711,40370,Washington/Dearborn,09/01/2006,8232.9,3430.6,2161.8,192619,False,True,False,False,False,False,False,False,"(41.883164, -87.62944)"
9712,40790,Monroe/Dearborn,09/01/2006,5849.6,1683.0,1109.2,130953,False,True,False,False,False,False,False,False,"(41.880703, -87.629378)"
9713,40070,Jackson/Dearborn,09/01/2006,6489.2,2392.6,1709.0,150292,False,True,False,False,False,False,False,False,"(41.878183, -87.629296)"
9714,41340,LaSalle,09/01/2006,3084.9,981.6,666.4,69937,False,True,False,False,False,False,False,False,"(41.875568, -87.631722)"
9715,40430,Clinton-Forest Park,09/01/2006,2898.6,1019.6,905.0,67595,False,True,False,False,False,False,False,False,"(41.875539, -87.640984)"
9716,40350,UIC-Halsted,09/01/2006,6816.1,1919.6,1206.2,151950,False,True,False,False,False,False,False,False,"(41.875474, -87.649707)"
9717,40470,Racine,09/01/2006,2530.2,1203.6,652.4,59884,False,True,False,False,False,False,False,False,"(41.87592, -87.659458)"
9718,40810,Medical Center,09/01/2006,2872.9,1078.0,652.0,66108,False,True,False,False,False,False,False,False,"(41.875706, -87.673932)"
9719,40220,Western-Forest Park,09/01/2006,1370.2,836.6,572.8,34450,False,True,False,False,False,False,False,False,"(41.875478, -87.688436)"
9720,40250,Kedzie-Homan-Forest Park,09/01/2006,1777.1,1071.4,778.0,44789,False,True,False,False,False,False,False,False,"(41.874341, -87.70604)"
9721,40920,Pulaski-Forest Park,09/01/2006,1465.0,1041.0,743.4,38222,False,True,False,False,False,False,False,False,"(41.873797, -87.725663)"
9722,40970,Cicero-Forest Park,09/01/2006,1241.6,785.8,542.2,31472,False,True,False,False,False,False,False,False,"(41.871574, -87.745154)"
9723,40010,Austin-Forest Park,09/01/2006,1865.9,852.6,571.8,44440,False,True,False,False,False,False,False,False,"(41.870851, -87.776812)"
9724,40180,Oak Park-Forest Park,09/01/2006,1747.5,638.0,425.4,40267,False,True,False,False,False,False,False,False,"(41.872108, -87.791602)"
9725,40980,Harlem-Forest Park,09/01/2006,1007.0,574.8,369.4,24861,False,True,False,False,False,False,False,False,"(41.87349, -87.806961)"
9726,40390,Forest Park,09/01/2006,4168.9,1820.8,1276.8,98866,False,True,False,False,False,False,False,False,"(41.874257, -87.817318)"
9727,41030,Polk,09/01/2006,3226.2,867.0,552.4,71621,False,False,False,False,False,False,True,False,"(41.871551, -87.66953)"
9728,40830,18th,09/01/2006,1246.7,798.0,537.2,31609,False,False,False,False,False,False,True,False,"(41.857908, -87.669147)"
9729,40210,Damen-Cermak,09/01/2006,1059.3,530.0,358.2,25626,False,False,False,False,False,False,True,False,"(41.854517, -87.675975)"
9730,40740,Western-Cermak,09/01/2006,900.9,514.4,328.0,22229,False,False,False,False,False,False,True,False,"(41.854225, -87.685129)"
9731,40440,California-Cermak,09/01/2006,1091.9,536.2,384.2,26439,False,False,False,False,False,False,True,False,"(41.854109, -87.694774)"
9732,41040,Kedzie-Cermak,09/01/2006,698.9,387.0,274.6,17285,False,False,False,False,False,False,True,False,"(41.853964, -87.705408)"
9733,40780,Central Park,09/01/2006,859.8,418.8,304.2,20810,False,False,False,False,False,False,True,False,"(41.853839, -87.714842)"
9734,40150,Pulaski-Cermak,09/01/2006,858.0,499.4,330.2,21307,False,False,False,False,False,False,True,False,"(41.853732, -87.724311)"
9735,40600,Kostner,09/01/2006,409.5,208.2,146.6,9964,False,False,False,False,False,False,True,False,"(41.853751, -87.733258)"
9736,40420,Cicero-Cermak,09/01/2006,1071.2,643.0,443.8,26857,False,False,False,False,False,False,True,False,"(41.85182, -87.745336)"
9737,40580,54th/Cermak,09/01/2006,2039.0,948.0,632.8,48684,False,False,False,False,False,False,True,False,"(41.85177331, -87.75669201)"
9738,40020,Harlem-Lake,09/01/2006,3802.5,2158.4,1342.6,93554,False,False,True,False,False,False,False,False,"(41.886848, -87.803176)"
9739,41350,Oak Park-Lake,09/01/2006,1634.1,921.8,610.0,40340,False,False,True,False,False,False,False,False,"(41.886988, -87.793783)"
9740,40610,Ridgeland,09/01/2006,1475.2,548.6,328.0,33887,False,False,True,False,False,False,False,False,"(41.887159, -87.783661)"
9741,41260,Austin-Lake,09/01/2006,2221.9,1139.6,733.8,53805,False,False,True,False,False,False,False,False,"(41.887293, -87.774135)"
9742,40280,Central-Lake,09/01/2006,2599.3,1458.2,1015.0,64352,False,False,True,False,False,False,False,False,"(41.887389, -87.76565)"
9743,40700,Laramie,09/01/2006,1517.6,918.6,602.8,37959,False,False,True,False,False,False,False,False,"(41.887163, -87.754986)"
9744,40480,Cicero-Lake,09/01/2006,1452.2,891.4,615.8,36579,False,False,True,False,False,False,False,False,"(41.886519, -87.744698)"
9745,40030,Pulaski-Lake,09/01/2006,1714.4,1054.2,697.4,43046,False,False,True,False,False,False,False,False,"(41.885412, -87.725404)"
9746,41670,Conservatory,09/01/2006,924.2,473.2,317.6,22437,False,False,True,False,False,False,False,False,"(41.884904, -87.716523)"
9747,41070,Kedzie-Lake,09/01/2006,1398.8,774.4,536.6,34530,False,False,True,False,False,False,False,False,"(41.884321, -87.706155)"
